treasury_account.fr_entity_description,gross_outlay_amount_by_program_object_class_cpe
Agency for International Development,7093709441.480003
Defense Security Cooperation Agency,19216106737.55001
Department of Agriculture,81109716999.98029
Department of Commerce,7973096950.9899845
Department of Defense,488875286423.06995
Department of Education,40422115146.13992
Department of Energy,19467548447.42998
Department of Health and Human Services,785644598772.29
Department of Homeland Security,36572045325.70997
Department of Housing and Urban Development,50405520577.52005
Department of Justice,19646788210.650024
Department of Labor,27551579878.819996
Department of State,19216753221.169968
Department of Transportation,41035097256.019936
Department of Veterans Affairs,92169189135.83968
Department of the Interior,11064250722.18
Department of the Treasury,524277355462.2795
Environmental Protection Agency,5290318634.920011
Federal Communications Commission,10393958151.179995
Federal Deposit Insurance Corporation,-1066537186.7800002
General Services Administration,11120463824.079992
National Aeronautics and Space Administration,10740191427.349987
National Railroad Retirement Investment Trust,1020877562.15
National Science Foundation,3416705422.830002
Office of Personnel Management,77067853946.66003
Pension Benefit Guaranty Corporation,3138621983.1299996
Railroad Retirement Board,6805566709.799998
Social Security Administration,521125889233.4206
